year,month,state,type_of_producer,energy_source,generation_mwh,date
2002,10,DC,"Electric Generators, Independent Power Producers",Total,-565,2002-10-01
2002,11,DC,Total Electric Power Industry,Petroleum,421,2002-11-01
2002,11,DC,Total Electric Power Industry,Total,421,2002-11-01
2002,11,DC,"Electric Generators, Independent Power Producers",Petroleum,421,2002-11-01
2002,11,DC,"Electric Generators, Independent Power Producers",Total,421,2002-11-01
2002,12,DC,Total Electric Power Industry,Petroleum,3589,2002-12-01
2002,12,DC,Total Electric Power Industry,Total,3589,2002-12-01
2002,12,DC,"Electric Generators, Independent Power Producers",Petroleum,3589,2002-12-01
2002,12,DC,"Electric Generators, Independent Power Producers",Total,3589,2002-12-01
2003,1,DC,Total Electric Power Industry,Petroleum,9933,2003-01-01
2003,1,DC,Total Electric Power Industry,Total,9933,2003-01-01
2003,1,DC,"Electric Generators, Independent Power Producers",Petroleum,9933,2003-01-01
2003,1,DC,"Electric Generators, Independent Power Producers",Total,9933,2003-01-01
2003,2,DC,Total Electric Power Industry,Petroleum,12549,2003-02-01
2003,2,DC,Total Electric Power Industry,Total,12549,2003-02-01
2003,2,DC,"Electric Generators, Independent Power Producers",Petroleum,12549,2003-02-01
2003,2,DC,"Electric Generators, Independent Power Producers",Total,12549,2003-02-01
2003,3,DC,Total Electric Power Industry,Petroleum,13086,2003-03-01
2003,3,DC,Total Electric Power Industry,Total,13086,2003-03-01
2003,3,DC,"Electric Generators, Independent Power Producers",Petroleum,13086,2003-03-01
2003,3,DC,"Electric Generators, Independent Power Producers",Total,13086,2003-03-01
2003,4,DC,Total Electric Power Industry,Petroleum,764,2003-04-01
2003,4,DC,Total Electric Power Industry,Total,764,2003-04-01
2003,4,DC,"Electric Generators, Independent Power Producers",Petroleum,764,2003-04-01
2003,4,DC,"Electric Generators, Independent Power Producers",Total,764,2003-04-01
2003,5,DC,Total Electric Power Industry,Petroleum,1614,2003-05-01
2003,5,DC,Total Electric Power Industry,Total,1614,2003-05-01
2003,5,DC,"Electric Generators, Independent Power Producers",Petroleum,1614,2003-05-01
2003,5,DC,"Electric Generators, Independent Power Producers",Total,1614,2003-05-01
2003,6,DC,Total Electric Power Industry,Petroleum,3552,2003-06-01
2003,6,DC,Total Electric Power Industry,Total,3552,2003-06-01
2003,6,DC,"Electric Generators, Independent Power Producers",Petroleum,3552,2003-06-01
2003,6,DC,"Electric Generators, Independent Power Producers",Total,3552,2003-06-01
2003,7,DC,Total Electric Power Industry,Petroleum,10741,2003-07-01
2003,7,DC,Total Electric Power Industry,Total,10741,2003-07-01
2003,7,DC,"Electric Generators, Independent Power Producers",Petroleum,10741,2003-07-01
2003,7,DC,"Electric Generators, Independent Power Producers",Total,10741,2003-07-01
2003,8,DC,Total Electric Power Industry,Petroleum,24567,2003-08-01
2003,8,DC,Total Electric Power Industry,Total,24567,2003-08-01
