date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2005-01-10;DC;PetroleumTotalPetroleumTotal;36672.0;0;0;0;2;2;0;0;2;0;2
2005-01-11;DC;PetroleumTotalPetroleumTotal;12.0;0;0;0;2;2;0;0;2;0;2
2005-01-12;DC;PetroleumTotalPetroleumTotal;19156.0;0;0;0;2;2;0;0;2;0;2
2006-01-01;DC;PetroleumTotalPetroleumTotal;9408.0;0;0;0;2;2;0;0;2;0;2
2006-01-02;DC;PetroleumTotalPetroleumTotal;5896.0;0;0;0;2;2;0;0;2;0;2
2006-01-03;DC;PetroleumTotalPetroleumTotal;-1316.0;0;0;0;2;2;0;0;2;0;2
2006-01-04;DC;PetroleumTotalPetroleumTotal;600.0;0;0;0;2;2;0;0;2;0;2
2006-01-05;DC;PetroleumTotalPetroleumTotal;6824.0;0;0;0;2;2;0;0;2;0;2
2006-01-06;DC;PetroleumTotalPetroleumTotal;14972.0;0;0;0;2;2;0;0;2;0;2
2006-01-07;DC;PetroleumTotalPetroleumTotal;90196.0;0;0;0;2;2;0;0;2;0;2
2006-01-08;DC;PetroleumTotalPetroleumTotal;191016.0;0;0;0;2;2;0;0;2;0;2
2006-01-09;DC;PetroleumTotalPetroleumTotal;-2064.0;0;0;0;2;2;0;0;2;0;2
2006-01-10;DC;PetroleumTotalPetroleumTotal;2212.0;0;0;0;2;2;0;0;2;0;2
2006-01-11;DC;PetroleumTotalPetroleumTotal;-2636.0;0;0;0;2;2;0;0;2;0;2
2006-01-12;DC;PetroleumTotalPetroleumTotal;10760.0;0;0;0;2;2;0;0;2;0;2
2007-01-01;DC;PetroleumTotalPetroleumTotal;-2072.0;0;0;0;2;2;0;0;2;0;2
2007-01-02;DC;PetroleumTotalPetroleumTotal;10728.0;0;0;0;2;2;0;0;2;0;2
2007-01-03;DC;PetroleumTotalPetroleumTotal;-956.0;0;0;0;2;2;0;0;2;0;2
2007-01-04;DC;PetroleumTotalPetroleumTotal;-1264.0;0;0;0;2;2;0;0;2;0;2
2007-01-05;DC;PetroleumTotalPetroleumTotal;-1272.0;0;0;0;2;2;0;0;2;0;2
2007-01-06;DC;PetroleumTotalPetroleumTotal;56572.0;0;0;0;2;2;0;0;2;0;2
2007-01-07;DC;PetroleumTotalPetroleumTotal;45248.0;0;0;0;2;2;0;0;2;0;2
2007-01-08;DC;PetroleumTotalPetroleumTotal;162324.0;0;0;0;2;2;0;0;2;0;2
2007-01-09;DC;PetroleumTotalPetroleumTotal;22064.0;0;0;0;2;2;0;0;2;0;2
2007-01-10;DC;PetroleumTotalPetroleumTotal;14544.0;0;0;0;2;2;0;0;2;0;2
2007-01-11;DC;PetroleumTotalPetroleumTotal;-2828.0;0;0;0;2;2;0;0;2;0;2
2007-01-12;DC;PetroleumTotalPetroleumTotal;-2084.0;0;0;0;2;2;0;0;2;0;2
2008-01-01;DC;PetroleumTotalPetroleumTotal;11988.0;0;0;0;2;2;0;0;2;0;2
2008-01-02;DC;PetroleumTotalPetroleumTotal;5032.0;0;0;0;2;2;0;0;2;0;2
2008-01-03;DC;PetroleumTotalPetroleumTotal;1604.0;0;0;0;2;2;0;0;2;0;2
2008-01-04;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2008-01-05;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2008-01-06;DC;PetroleumTotalPetroleumTotal;200476.0;0;0;0;2;2;0;0;2;0;2
2008-01-07;DC;PetroleumTotalPetroleumTotal;34968.0;0;0;0;2;2;0;0;2;0;2
2008-01-08;DC;PetroleumTotalPetroleumTotal;21916.0;0;0;0;2;2;0;0;2;0;2
2008-01-09;DC;PetroleumTotalPetroleumTotal;2316.0;0;0;0;2;2;0;0;2;0;2
2008-01-10;DC;PetroleumTotalPetroleumTotal;10964.0;0;0;0;2;2;0;0;2;0;2
2008-01-11;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2008-01-12;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2009-01-01;DC;PetroleumTotalPetroleumTotal;23212.0;0;0;0;2;2;0;0;2;0;2
2009-01-02;DC;PetroleumTotalPetroleumTotal;11500.0;0;0;0;2;2;0;0;2;0;2
2009-01-03;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2009-01-04;DC;PetroleumTotalPetroleumTotal;2324.0;0;0;0;2;2;0;0;2;0;2
2009-01-05;DC;PetroleumTotalPetroleumTotal;732.0;0;0;0;2;2;0;0;2;0;2
2009-01-06;DC;PetroleumTotalPetroleumTotal;31668.0;0;0;0;2;2;0;0;2;0;2
2009-01-07;DC;PetroleumTotalPetroleumTotal;24228.0;0;0;0;2;2;0;0;2;0;2
2009-01-08;DC;PetroleumTotalPetroleumTotal;46708.0;0;0;0;2;2;0;0;2;0;2
2009-01-09;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2009-01-10;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2009-01-11;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
2009-01-12;DC;PetroleumTotalPetroleumTotal;1624.0;0;0;0;2;2;0;0;2;0;2
2010-01-01;DC;PetroleumTotalPetroleumTotal;0.0;0;0;0;2;2;0;0;2;0;2
