year;month;state;type_of_producer;energy_source;generation_mwh;date
2002;2;DC;Electric Generators, Independent Power Producers;Petroleum;4729;01/02/2002
2002;2;DC;Electric Generators, Independent Power Producers;Total;4729;01/02/2002
2002;3;DC;Total Electric Power Industry;Petroleum;11399;01/03/2002
2002;3;DC;Total Electric Power Industry;Total;11399;01/03/2002
2002;3;DC;Electric Generators, Independent Power Producers;Petroleum;11399;01/03/2002
2002;3;DC;Electric Generators, Independent Power Producers;Total;11399;01/03/2002
2002;4;DC;Total Electric Power Industry;Petroleum;22998;01/04/2002
2002;4;DC;Total Electric Power Industry;Total;22998;01/04/2002
2002;4;DC;Electric Generators, Independent Power Producers;Petroleum;22998;01/04/2002
2002;4;DC;Electric Generators, Independent Power Producers;Total;22998;01/04/2002
2002;5;DC;Total Electric Power Industry;Petroleum;-616;01/05/2002
2002;5;DC;Total Electric Power Industry;Total;-616;01/05/2002
2002;5;DC;Electric Generators, Independent Power Producers;Petroleum;-616;01/05/2002
2002;5;DC;Electric Generators, Independent Power Producers;Total;-616;01/05/2002
2002;6;DC;Total Electric Power Industry;Petroleum;30828;01/06/2002
2002;6;DC;Total Electric Power Industry;Total;30828;01/06/2002
2002;6;DC;Electric Generators, Independent Power Producers;Petroleum;30828;01/06/2002
2002;6;DC;Electric Generators, Independent Power Producers;Total;30828;01/06/2002
2002;7;DC;Total Electric Power Industry;Petroleum;101334;01/07/2002
2002;7;DC;Total Electric Power Industry;Total;101334;01/07/2002
2002;7;DC;Electric Generators, Independent Power Producers;Petroleum;101334;01/07/2002
2002;7;DC;Electric Generators, Independent Power Producers;Total;101334;01/07/2002
2002;8;DC;Total Electric Power Industry;Petroleum;85726;01/08/2002
2002;8;DC;Total Electric Power Industry;Total;85726;01/08/2002
2002;8;DC;Electric Generators, Independent Power Producers;Petroleum;85726;01/08/2002
2002;8;DC;Electric Generators, Independent Power Producers;Total;85726;01/08/2002
2002;9;DC;Total Electric Power Industry;Petroleum;3170;01/09/2002
2002;9;DC;Total Electric Power Industry;Total;3170;01/09/2002
2002;9;DC;Electric Generators, Independent Power Producers;Petroleum;3170;01/09/2002
2002;9;DC;Electric Generators, Independent Power Producers;Total;3170;01/09/2002
2002;10;DC;Total Electric Power Industry;Petroleum;-565;01/10/2002
2002;10;DC;Total Electric Power Industry;Total;-565;01/10/2002
2002;10;DC;Electric Generators, Independent Power Producers;Petroleum;-565;01/10/2002
2002;10;DC;Electric Generators, Independent Power Producers;Total;-565;01/10/2002
2002;11;DC;Total Electric Power Industry;Petroleum;421;01/11/2002
2002;11;DC;Total Electric Power Industry;Total;421;01/11/2002
2002;11;DC;Electric Generators, Independent Power Producers;Petroleum;421;01/11/2002
2002;11;DC;Electric Generators, Independent Power Producers;Total;421;01/11/2002
2002;12;DC;Total Electric Power Industry;Petroleum;3589;01/12/2002
2002;12;DC;Total Electric Power Industry;Total;3589;01/12/2002
2002;12;DC;Electric Generators, Independent Power Producers;Petroleum;3589;01/12/2002
2002;12;DC;Electric Generators, Independent Power Producers;Total;3589;01/12/2002
2003;1;DC;Total Electric Power Industry;Petroleum;9933;01/01/2003
2003;1;DC;Total Electric Power Industry;Total;9933;01/01/2003
2003;1;DC;Electric Generators, Independent Power Producers;Petroleum;9933;01/01/2003
2003;1;DC;Electric Generators, Independent Power Producers;Total;9933;01/01/2003
2003;2;DC;Total Electric Power Industry;Petroleum;12549;01/02/2003
2003;2;DC;Total Electric Power Industry;Total;12549;01/02/2003
2003;2;DC;Electric Generators, Independent Power Producers;Petroleum;12549;01/02/2003
2003;2;DC;Electric Generators, Independent Power Producers;Total;12549;01/02/2003
2003;3;DC;Total Electric Power Industry;Petroleum;13086;01/03/2003
2003;3;DC;Total Electric Power Industry;Total;13086;01/03/2003
2003;3;DC;Electric Generators, Independent Power Producers;Petroleum;13086;01/03/2003
2003;3;DC;Electric Generators, Independent Power Producers;Total;13086;01/03/2003
2003;4;DC;Total Electric Power Industry;Petroleum;764;01/04/2003
2003;4;DC;Total Electric Power Industry;Total;764;01/04/2003
2003;4;DC;Electric Generators, Independent Power Producers;Petroleum;764;01/04/2003
2003;4;DC;Electric Generators, Independent Power Producers;Total;764;01/04/2003
2003;5;DC;Total Electric Power Industry;Petroleum;1614;01/05/2003
2003;5;DC;Total Electric Power Industry;Total;1614;01/05/2003
2003;5;DC;Electric Generators, Independent Power Producers;Petroleum;1614;01/05/2003
2003;5;DC;Electric Generators, Independent Power Producers;Total;1614;01/05/2003
2003;6;DC;Total Electric Power Industry;Petroleum;3552;01/06/2003
2003;6;DC;Total Electric Power Industry;Total;3552;01/06/2003
2003;6;DC;Electric Generators, Independent Power Producers;Petroleum;3552;01/06/2003
2003;6;DC;Electric Generators, Independent Power Producers;Total;3552;01/06/2003
